,date,slice id,state,filename,file key
61,2018-03-30,Slice1c2,6ohda,dataset/2018-03-30_NS/2018-03-30 Slice1c2fI.hdf5,000040 f-I curve +20~+300
62,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000001 f-I curve +20~+300
63,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000002 f-I curve +20~+300
64,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000003 f-I curve +20~+300
65,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000004 f-I curve +20~+300
66,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000005 f-I curve +20~+300
67,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000006 f-I curve +20~+300
68,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000007 f-I curve +20~+300
69,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000008 f-I curve +20~+300
70,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000009 f-I curve +20~+300
71,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000010 f-I curve +20~+300
72,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000011 f-I curve +20~+300
73,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000012 f-I curve +20~+300
74,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000013 f-I curve +20~+300
75,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000014 f-I curve +20~+300
76,2018-04-04,Slice1c5,6ohda,dataset/2018-04-04_NS/2018-04-04 Slice1c5fI.hdf5,000015 f-I curve +20~+300
77,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000002 f-I curve +20~+300
78,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000003 f-I curve +20~+300
79,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000004 f-I curve +20~+300
80,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000005 f-I curve +20~+300
81,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000006 f-I curve +20~+300
82,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000007 f-I curve +20~+300
83,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000001 f-I curve +20~+300
84,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000008 f-I curve +20~+300
85,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000009 f-I curve +20~+300
86,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000011 f-I curve +20~+300
87,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000012 f-I curve +20~+300
88,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000013 f-I curve +20~+300
89,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000014 f-I curve +20~+300
90,2018-07-18,Slice1c1,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice1c1 fI_2.hdf5,000010 f-I curve +20~+300
91,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000013 f-I curve +20~+300
92,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000014 f-I curve +20~+300
93,2018-07-18,Slice2c3,6ohda,dataset/2018-07-18_NS/2018-07-18 Slice2c3fI.hdf5,000015 f-I curve +20~+300
