,etype,cellid,seed,state,protocol,amplitude,duration,adaptation_index2,AP_count,AP_count_before_stim,AP_count_after_stim,voltage_base,voltage_after_stim,voltage_deflection,AP_amplitude,AP1_amp,AP2_amp,fast_AHP,AHP_depth,AP_amplitude_change,sag_amplitude
0,lesioned_719,1280,4,6ohda,fi,260,2000,0.25574041486695465,5,0,0,-70.62761631725598,-72.67845103780303,12.85431077677783,38.536122840219825,38.536122840219825,47.65462067364429,20.955608419781683,10.000586385153376,0.23662208757305403,
0,lesioned_719,1280,4,6ohda,fi,280,2000,0.26737571255022896,6,0,0,-70.62745720460185,-72.79895208989201,13.688499260883006,42.152794574917536,42.152794574917536,24.356610640542716,19.685031478861305,10.193824146886463,-0.4221827784809362,
0,lesioned_719,1280,4,6ohda,fi,300,2000,0.17229839057796048,6,0,0,-70.62729859135807,-72.9091233616278,14.51361909273249,54.47032312502047,54.47032312502047,46.251071269641415,16.375437608870094,10.618125550514847,-0.15089412700038884,
0,lesioned_719,1280,4,6ohda,tburst,-50,2000,,0,0,0,-70.63007641486986,-70.5170336452489,-3.574042441110805,,,,,,,1.6266902520310822
0,lesioned_719,1280,4,6ohda,tburst,-100,2000,,3,0,3,-70.63047303447308,-70.83001541735746,-7.070718135033999,,,,17.85326306407648,10.386691270263,,3.04809331535526
0,lesioned_719,1280,4,6ohda,tburst,-150,2000,,6,0,6,-70.63087007478944,-70.71747069922459,-10.644849192748566,,,,7.7659005922123825,15.823690387646266,,4.626044217602825
0,lesioned_719,1280,4,6ohda,tburst,-200,2000,,8,0,8,-70.6312667654437,-70.36425912608028,-14.008771896758788,,,,2.8544871680526427,20.27683945996022,,6.657183245246813
0,lesioned_719,1280,4,6ohda,tburst,-250,2000,,9,0,9,-70.63166405092183,-69.97097173926369,-17.018679767513802,,,,-0.6717751600675754,21.63427290829017,,9.120352446330685
0,lesioned_719,1280,4,6ohda,tburst,-300,2000,,10,0,10,-70.632060806875,-69.51599876696997,-19.764703102424505,,,,0.7304717732341572,22.470678490840967,,11.718949321424077
0,lesioned_719,1280,4,6ohda,tburst,-50,500,,0,0,0,-70.63007641486986,-70.75048591191423,-3.81494006824488,,,,,,,1.3768552862842114
0,lesioned_719,1280,4,6ohda,tburst,-100,500,,3,0,3,-70.63047303447308,-70.88759573104531,-8.03398953207504,,,,17.237438668799214,11.294443416434724,,2.064841880092743
0,lesioned_719,1280,4,6ohda,tburst,-150,500,,7,0,7,-70.63087007478944,-70.89959722573175,-12.858185322327287,,,,8.444688091000863,16.506460588817617,,2.3769211538888584
0,lesioned_719,1280,4,6ohda,tburst,-200,500,,9,0,9,-70.63126676544371,-70.75681655394365,-17.66394926196888,,,,0.9147606320119479,21.5737448800894,,2.9369417607188097
0,lesioned_719,1280,4,6ohda,tburst,-250,500,,10,0,10,-70.63166405092183,-70.5246793789173,-21.791046075968126,,,,5.2525450226823835,21.918163331622132,,4.226597593003703
0,lesioned_719,1280,4,6ohda,tburst,-300,500,,10,0,10,-70.63206080687499,-70.20928836284007,-25.093229786337332,,,,-1.4529009869870464,23.59720939684015,,6.207598438702078
0,lesioned_719,1280,4,6ohda,tburst,-50,200,,0,0,0,-70.63007641486985,-70.79043183226466,-4.245973571841077,,,,,,,0.9084962223028583
0,lesioned_719,1280,4,6ohda,tburst,-100,200,,3,0,3,-70.63047303447308,-70.973230700127,-9.038683432218065,,,,14.919573109512967,10.879520614594327,,1.0273057266642383
0,lesioned_719,1280,4,6ohda,tburst,-150,200,,5,0,5,-70.63087007478944,-70.97246576931855,-14.337238304135013,,,,11.296769475451221,14.174927428799059,,0.9017091211761397
0,lesioned_719,1280,4,6ohda,tburst,-200,200,,7,0,7,-70.63126676544371,-70.9425318809172,-19.76778606502222,,,,7.695026017787036,17.036521404005605,,0.8751621417464008
0,lesioned_719,1280,4,6ohda,tburst,-250,200,,8,0,8,-70.63166405092183,-70.83309547236787,-24.878524800480932,,,,2.1681939814117968,19.351390306990922,,1.2041480007443113
0,lesioned_719,1280,4,6ohda,tburst,-300,200,,8,0,8,-70.632060806875,-70.62548434604744,-29.27521496975588,,,,8.287809740254566,18.928092840437046,,2.076486562013173
0,lesioned_719,1280,4,6ohda,rmih,-50,2000,,0,0,0,-74.98487724789909,-74.40688731118375,-3.5131954061391895,,,,,,,1.7934790508346339
0,lesioned_719,1280,4,6ohda,rmih,-100,2000,,4,0,4,-74.98527404704171,-75.18538966522323,-7.081301992556391,,,,9.837483254518595,18.269299791673255,,3.592371772813962
0,lesioned_719,1280,4,6ohda,rmih,-150,2000,,7,0,7,-74.98567126745343,-74.8143821220422,-10.42792097195391,,,,6.236549384972989,22.452649689059584,,5.8088447671209735
0,lesioned_719,1280,4,6ohda,rmih,-200,2000,,8,0,8,-74.98606813796431,-74.51913978650633,-13.420895361926185,,,,0.12964075119916174,25.368119948536993,,8.446034648792036
0,lesioned_719,2028,3,6ohda,fi,20,2000,,0,0,0,-67.43994597249068,-67.71346387586557,1.5963069268527619,,,,,,,
0,lesioned_719,2028,3,6ohda,fi,40,2000,,0,0,0,-67.43978786716045,-67.7971827594683,3.342778232128481,,,,,,,
0,lesioned_719,2028,3,6ohda,fi,60,2000,,0,0,0,-67.43962959486815,-67.8799439597322,5.051691986809864,,,,,,,
0,lesioned_719,2028,3,6ohda,fi,80,2000,,0,0,0,-67.43947068681618,-67.96374061551208,6.787323359452536,,,,,,,
0,lesioned_719,2028,3,6ohda,fi,100,2000,,1,0,0,-67.43931251892421,-68.05181255006467,8.65591830506007,51.97716177325417,51.97716177325417,,,8.492508804893141,,
0,lesioned_719,2028,3,6ohda,fi,120,2000,,2,0,0,-67.43915392276644,-68.15104533588955,10.906155670821548,51.9443521784952,51.9443521784952,,16.621508914940122,8.885556978466987,,
0,lesioned_719,2028,3,6ohda,fi,140,2000,0.04369918249531287,15,0,0,-67.43899506118315,-68.28691129857917,8.593553882091065,46.71438242940861,46.71438242940861,45.47265912526268,17.32455375844208,9.21046792720297,-0.026581177778007246,
0,lesioned_719,2028,3,6ohda,fi,160,2000,-0.006761223505450523,25,0,0,-67.43883639087436,-68.34350800222474,11.647939167044605,47.31237656648631,47.31237656648631,38.2874847019574,15.127552203885294,9.591112531813117,-0.1907511843512355,
0,lesioned_719,2028,3,6ohda,fi,180,2000,0.009872500968164605,35,0,0,-67.43867874871373,-68.3881160469358,48.61995900198963,32.241003852083594,32.241003852083594,43.75377538479772,18.9209183282573,9.878571715694207,0.3570847727177734,
0,lesioned_719,2028,3,6ohda,fi,200,2000,0.0041429795517040026,44,0,0,-67.43851976161665,-68.41798683089627,11.587842938325217,51.56211370222201,51.56211370222201,36.7374192007133,15.420765150457719,10.023840509379049,-0.2875113806839508,
0,lesioned_719,2028,3,6ohda,fi,220,2000,0.005448733581238155,54,0,0,-67.43836136797826,-68.44133871462269,13.52857813456707,49.67932455443596,49.67932455443596,31.87490817823007,15.930574335607389,10.217546929877159,-0.35838684474658583,
0,lesioned_719,2028,3,6ohda,fi,240,2000,0.004721711866685091,63,0,0,-67.4382019527839,-68.45971876945428,14.382091514309366,36.81449914058278,36.81449914058278,50.67708654186677,13.925522196184438,10.424707448589963,0.37655238356896303,
